id,category,faithfulness,factual_correctness,context_precision,context_recall,factual_correctness_reference_used,error
C09,conceptual,0.0,0.0,0.0,0.5,"What is the conceptual difference between a Pod's `phase` and the `STATUS` column shown by `kubectl get pods`? `phase` is a small, explicit, tightly-defined part of the Kubernetes API data model (Pending/Running/Succeeded/Failed/Unknown). The `STATUS` column kubectl shows is a display convenience for humans and can show other values like `CrashLoopBackOff` or `Terminating` that aren't part of the phase enum at all.",
OR03,object_relations,0.5,0.25,0.9999999999,0.6666666666666666,"A HorizontalPodAutoscaler targets a Deployment via `scaleTargetRef` and is actively managing its replica count. If you run `kubectl scale` on that Deployment to set a different replica count manually, what happens the next time the HPA control loop runs, and how soon does that happen by default? By default the HPA control loop runs every 15 seconds (set by the `--horizontal-pod-autoscaler-sync-period` parameter on kube-controller-manager). On its next iteration, it queries current metrics for the Pods selected by the target's `.spec.selector` and computes a desired replica count from those metrics - then sets the Deployment's replica count to that value, overwriting the manual `kubectl scale` change. The HPA doesn't track or respect a manually-set count; it always drives the target back toward what its own metric calculation says.",
P07,procedural,1.0,1.0,0.9999999999,1.0,"What should you do to a StatefulSet before deleting it, if you want its Pods to terminate in order and gracefully? Scale the StatefulSet down to 0 replicas first, then delete it.",
MD01,multi_document,0.5,0.18,0.3333333333,0.5,"A Deployment's Pod has `restartPolicy: Always` (the Pod-level default) and its container fails its liveness probe 3 times in a row (the default failureThreshold). What happens to the container, and does the Deployment controller need to intervene? The kubelet restarts the failed container directly, honoring the Pod's `restartPolicy`, once `failureThreshold` (default 3) consecutive failures have occurred - this is handled entirely at the container/kubelet level. The Deployment controller doesn't need to do anything; it only acts when a Pod itself needs replacing, not for in-place container restarts.",
MH12,multi_hop,0.75,0.93,0.9166666666361111,1.0,"A node is under memory pressure. Pod A has low priority but its memory usage does not exceed its request. Pod B has high priority but its memory usage does exceed its request. Which one is the kubelet more likely to evict, and why doesn't priority simply decide it? Pod B, despite its higher priority. The kubelet ranks eviction candidates by checking, first, whether the pod's usage of the starved resource exceeds its request - only pods that do are eligible at all. Priority is only used as a factor after that first filter. Since Pod A isn't exceeding its request, it won't be evicted regardless of how low its priority is; Pod B, despite being higher priority, does exceed its request and remains a valid eviction candidate.",
F11,factual,1.0,0.0,0.0,0.0,What is the default Service `type` if none is specified? ClusterIP.,
C10,conceptual,1.0,0.0,0.0,0.0,"Why can't a Pod, as Kubernetes models it, ever be ""rescheduled"" to a different node? A Pod's identity is tied to its UID, and binding happens once. If a Pod needs to run elsewhere, Kubernetes doesn't move the existing Pod object - it creates a new, near-identical replacement Pod (possibly reusing the same name but with a different UID), rather than relocating the original.",
OR04,object_relations,0.5454545454545454,0.62,0.99999999995,0.5,"A Pod has two containers consuming the same ConfigMap two different ways: one mounts it as a regular volume, the other injects it via environment variables. If you update the ConfigMap, which container(s) see the new values without the Pod being restarted? Only the container using the volume mount - and even then not instantly: volume-mounted ConfigMap keys are eventually updated, with the propagation delay depending on how the kubelet is configured to sync (watch-based by default). The container using environment variables will not see the update at all without a Pod restart - ConfigMaps consumed as environment variables are not updated automatically.",
P08,procedural,1.0,0.8,0.9999999999,1.0,How do you configure a container so that its liveness and readiness probes don't begin until an initialization check succeeds? Add a `startupProbe` to the container; liveness and readiness probe delays don't begin until the startup probe succeeds.,
MD02,multi_document,1.0,1.0,0.99999999998,1.0,"If a StorageClass doesn't set `reclaimPolicy` at all, what reclaim policy will PersistentVolumes dynamically provisioned from it end up with? Delete. The StorageClass's `reclaimPolicy` defaults to `Delete` when unspecified, and dynamically provisioned PersistentVolumes inherit the reclaim policy of the StorageClass that provisioned them.",
MH13,multi_hop,0.5,0.0,0.3333333333,0.5,"A Pod has `restartPolicy: Never`, and one of its init containers fails during startup. Does Kubernetes retry that init container the way it normally would? No. Normally the kubelet repeatedly restarts a failing init container until it succeeds - but that behavior depends on the Pod's `restartPolicy`. With `restartPolicy: Never`, if an init container fails during startup, Kubernetes does not retry it at all and instead treats the whole Pod as failed.",
F12,factual,0.3333333333333333,0.0,0.0,0.0,What is the default port range used for NodePort Services? 30000-32767 (controlled by the `--service-node-port-range` flag).,
C11,conceptual,1.0,0.0,0.0,0.0,"What is the purpose of taints and tolerations as a mechanism, conceptually? They let a node repel Pods by default: a taint on a node means no Pod is scheduled there unless it explicitly tolerates that taint. This is the opposite direction from node affinity, which is a Pod attracting itself toward certain nodes.",
OR05,object_relations,0.875,0.43,0.6999999999766667,1.0,"Two PersistentVolumeClaims could both technically match the same statically-provisioned PersistentVolume (same access mode, sufficient capacity). Once the first PVC binds to that PV, can the second PVC also bind to it? No. A PVC-to-PV binding is exclusive and one-to-one, established through a bidirectional ClaimRef once bound. The PV is then unavailable to any other PVC regardless of whether that PVC's requirements would also have matched - the second PVC simply remains unbound until a different matching PV becomes available.",
P09,procedural,0.6666666666666666,0.67,0.49999999995,1.0,"How do you define multiple containers that must each finish, in order, before a Pod's main application containers start? List them under the Pod's `initContainers` field; they run sequentially and each must succeed before the next one starts.",
MD03,multi_document,0.5,0.0,0.0,0.0,"A CronJob has `concurrencyPolicy: Forbid`. If a new scheduled run's time arrives while the previous Job is still running, what happens to that run - and separately, how many times will a single Job run itself retry on failure by default? Under `Forbid`, the CronJob skips (counts as missed) the new run if the previous Job hasn't finished yet. Independently, each individual Job run retries failed Pods up to `.spec.backoffLimit` times, which defaults to 6, before that particular Job is marked failed.",
MH14,multi_hop,0.375,0.6,0.8333333332916666,1.0,"A Deployment has `.spec.revisionHistoryLimit` set to 2, and it has since been updated 5 times. You now want to roll back to the very first revision. Will that work? No. Rollback capability depends on the old ReplicaSets being retained, since each Deployment revision's configuration is stored in its corresponding ReplicaSet - once that ReplicaSet is deleted, you lose the ability to roll back to that revision. With `revisionHistoryLimit: 2`, only the 2 most recent old ReplicaSets are kept; after 5 updates, the ReplicaSet holding the first revision has almost certainly already been cleaned up, so you can no longer roll back to it.",
F13,factual,1.0,0.0,0.0,1.0,"What are the three supported Ingress `pathType` values? `Exact`, `Prefix`, and `ImplementationSpecific`.",
C12,conceptual,1.0,1.0,0.8333333332916666,1.0,"Why are Secrets modeled as a separate API object instead of just letting you put sensitive values directly in a Pod spec? Keeping Secrets independent of the Pods that use them reduces the risk of the sensitive data being exposed during the ordinary workflow of creating, viewing, and editing Pods, and lets Kubernetes and cluster components take extra precautions (like avoiding writes to nonvolatile storage) that wouldn't be possible if the data were just inline Pod fields.",
OR06,object_relations,0.6,1.0,0.5833333333041666,1.0,"You create a NetworkPolicy in a namespace with a `podSelector` matching Pods labeled `role=db`. Does this NetworkPolicy have any effect on a different Pod in the same namespace labeled `role=web`, which isn't selected by any NetworkPolicy? No. A Pod is only isolated (traffic-restricted) for a given direction if at least one NetworkPolicy actually selects that Pod via its podSelector and covers that direction. Since the `role=web` Pod isn't selected by this or any other NetworkPolicy, it stays non-isolated and continues to allow all inbound and outbound traffic by default - a NetworkPolicy targeting a different set of Pods elsewhere in the namespace has no implicit effect on Pods it doesn't select.",
MD04,multi_document,0.8333333333333334,0.2,0.5833333333041666,1.0,"Can a HorizontalPodAutoscaler still change a Deployment's replica count while a rolling update of that Deployment is in progress? Yes. The HorizontalPodAutoscaler only manages the Deployment's `replicas` field; the Deployment controller is separately responsible for splitting that total across the old and new ReplicaSets during the rollout, so autoscaling and rolling updates work concurrently without conflicting.",
P10,procedural,0.0,0.0,0.0,0.0,How do you make a DaemonSet's Pods use a scheduler other than the default one? Set `.spec.template.spec.schedulerName` on the DaemonSet.,
MH15,multi_hop,0.8,0.18,0.5833333333041666,1.0,"A StatefulSet has 5 replicas (ordinals 0-4) and `.spec.updateStrategy.rollingUpdate.partition` set to 3. If you update the Pod template, which Pods actually get updated? Only the Pods with an ordinal greater than or equal to the partition value - here, pod-3 and pod-4 (2 of the 5 Pods). Pods with an ordinal less than the partition (pod-0, pod-1, pod-2) are left on the old template and are not touched by the rollout, which is exactly what a partition is for: staging or canarying an update to only the highest-numbered Pods first.",
F14,factual,1.0,0.4,0.9999999999,1.0,What is the maximum allowed size of a ConfigMap? 1 MiB.,
C13,conceptual,0.5,0.0,0.49999999995,1.0,"Why is kube-scheduler's node selection split into separate ""filtering"" and ""scoring"" steps instead of one step? Filtering and scoring answer two different questions: filtering finds which nodes are even feasible (hard constraints, e.g. enough resources), while scoring ranks only the nodes that survived filtering to pick the best of the feasible options. Separating them keeps a fast/simple feasibility check distinct from a more nuanced ranking decision.",
OR07,object_relations,0.5,0.8,0.99999999995,1.0,"You have a standalone Pod (not created by any controller) that happens to carry labels matching an existing ReplicaSet's selector, and the Pod has no owner reference. What does the ReplicaSet do? The ReplicaSet will immediately acquire (adopt) the Pod. A ReplicaSet identifies which Pods to manage using its selector, not just Pods it created itself - if a Pod has no owner reference (or a non-controller owner reference) and its labels match the ReplicaSet's selector, the ReplicaSet treats it as one of its own and counts it toward its desired replica count.",
P11,procedural,0.3333333333333333,0.0,0.0,1.0,"How do you request a specific, fixed NodePort value (e.g. 30007) for a Service instead of letting Kubernetes pick one? Set `nodePort: 30007` explicitly under the relevant entry in `.spec.ports` on a Service of `type: NodePort`.",
MD05,multi_document,0.0,0.36,0.9999999999,1.0,"DaemonSets are meant to run a Pod on every node, but nodes are frequently tainted (e.g. not-ready or disk-pressure). How do DaemonSet Pods still end up running on tainted nodes? The DaemonSet controller automatically adds a matching set of tolerations to DaemonSet Pods (for taints like `node.kubernetes.io/not-ready`, `disk-pressure`, `unschedulable`, etc.), so those Pods tolerate the taints that would otherwise block or evict ordinary Pods from those nodes.",
P12,procedural,0.5,0.33,0.9999999999,0.0,"How do you configure a Job to run 8 tasks with all 8 running in parallel, each aware of its own index? Set `.spec.completions: 8`, `.spec.parallelism: 8`, and `.spec.completionMode: Indexed`.",
